month,category,share_percent,consumer_count,feeder
Apr-2024,0% PA,52.680495689655174,14848,overall
Apr-2024,>0% PA,47.319504310344826,14848,overall
May-2024,0% PA,46.77430205179952,14865,overall
May-2024,>0% PA,53.22569794820047,14865,overall
Jun-2024,0% PA,49.7600216318529,14793,overall
Jun-2024,>0% PA,50.2399783681471,14793,overall
Jul-2024,0% PA,48.701478104710596,14478,overall
Jul-2024,>0% PA,51.298521895289404,14478,overall
Aug-2024,0% PA,49.35010773615069,14387,overall
Aug-2024,>0% PA,50.6498922638493,14387,overall
Sep-2024,0% PA,47.914302876593474,14983,overall
Sep-2024,>0% PA,52.085697123406526,14983,overall
Oct-2024,0% PA,48.77529286474974,15024,overall
Oct-2024,>0% PA,51.22470713525027,15024,overall
Nov-2024,0% PA,48.506730229949525,14264,overall
Nov-2024,>0% PA,51.493269770050475,14264,overall
Dec-2024,0% PA,48.0290108118998,14891,overall
Dec-2024,>0% PA,51.97098918810019,14891,overall
Jan-2025,0% PA,47.49424353243939,14766,overall
Jan-2025,>0% PA,52.505756467560616,14766,overall
Feb-2025,0% PA,46.47796024200518,13884,overall
Feb-2025,>0% PA,53.52203975799481,13884,overall
Mar-2025,0% PA,44.91096655496419,15219,overall
Mar-2025,>0% PA,55.08903344503581,15219,overall
Apr-2025,0% PA,31.317993011142615,15167,overall
Apr-2025,>0% PA,68.6820069888574,15167,overall
May-2025,0% PA,34.41592456783656,15272,overall
May-2025,>0% PA,65.58407543216343,15272,overall
Jun-2025,0% PA,37.58925646904684,15265,overall
Jun-2025,>0% PA,62.41074353095316,15265,overall
Jul-2025,0% PA,44.36652028577047,15257,overall
Jul-2025,>0% PA,55.63347971422954,15257,overall
Aug-2025,0% PA,57.24704336399474,15220,overall
Aug-2025,>0% PA,42.75295663600526,15220,overall
Sep-2025,0% PA,61.62318080503475,15254,overall
Sep-2025,>0% PA,38.37681919496526,15254,overall
